fid,id,LDEN,st_area_sh,st_length_,Long,Lat
300,296455,54,100.07833864,40.0156646633,3.80446,43.61307
301,296475,53,100.07882738,40.0157623718,3.80942,43.61301
302,297215,54,100.07778136,40.0155532492,3.87036,43.61211
303,297479,59,200.157135525,60.0236420344,3.82254,43.6127
304,298417,51,100.07781178,40.0155593308,3.83307,43.61234
305,298495,52,200.15659348,60.0235351865,3.85474,43.61209
306,299230,51,100.078835,40.0157638982,3.80309,43.61255
307,300631,51,300.23648214,80.0315247437,3.81035,43.61224
308,301062,56,300.236001025,80.0314255098,3.80737,43.61216
309,301468,52,100.078239845,40.0156449101,3.92743,43.61051
310,301620,51,100.07880453,40.0157578036,3.83714,43.61165
311,303859,55,100.078323385,40.0156616135,3.8235,43.61138
312,303896,53,200.15912103,60.0238389818,3.83329,43.6113
313,304135,53,100.07876654,40.0157502086,3.89224,43.61046
314,304806,54,100.07881214,40.015759325,3.83118,43.6111
315,305628,66,100.07773588,40.0155441567,3.93732,43.60956
316,305712,56,300.23546272,80.0315247437,3.81866,43.61117
317,306540,63,200.15602495,60.0233230487,3.9027,43.60987
318,306972,55,400.31457736,100.039577032,3.88623,43.61009
319,306982,50,100.07776618,40.0155502144,3.88802,43.60998
320,307086,66,100.079232645,40.015843392,3.93694,43.6093
321,308023,53,200.15649483,60.0235200119,3.91551,43.60946
322,308991,53,100.078835,40.0157638982,3.80564,43.61062
323,309436,52,500.39418267,120.047290166,3.80106,43.61068
324,309792,59,100.079270515,40.015850965,3.88565,43.60947
325,312609,56,500.39283614,120.04724911,3.8897,43.60895
326,312760,52,200.15767002,60.0237443171,3.81002,43.60985
327,313505,57,400.313554245,100.039271735,3.89127,43.60867
328,313639,52,100.079331375,40.0158631321,3.80822,43.60969
329,313743,52,200.15710507,60.0235367086,3.84563,43.60924
330,314110,58,100.07931613,40.0158600843,3.82135,43.60943
331,315166,61,100.079285705,40.0158539998,3.86767,43.60863
332,315449,52,100.079323755,40.0158616067,3.818,43.6092
333,315495,51,100.07830815,40.0156585677,3.8367,43.60896
334,315906,53,100.07830815,40.0156585677,3.8336,43.60891
335,318502,52,100.07876654,40.0157502086,3.88883,43.60772
336,321407,51,200.15802189,60.0237245526,3.89612,43.60712
337,322406,54,100.07882738,40.0157623718,3.81103,43.60794
338,322910,53,100.07982775,40.015962366,3.81375,43.60782
339,323486,50,100.07880453,40.0157578026,3.84261,43.60735
340,324268,60,100.07875138,40.0157471778,3.90441,43.60642
